purpose_text,transaction_type
city hall,Government & Legal
nyu langone,Healthcare & Medical
alamo,Transportation
gym  australia,Entertainment & Recreation
capital gains india,Income
white house ,Government & Legal
cold stone creamery  india store weekday,Food & Dining
hughesnet,Utilities & Services
turo,Transportation
audubon society,Charity & Donations
tmobile,Utilities & Services
bloomingdales store,Shopping & Retail
ebay australia center txn,Shopping & Retail
credit store,Income
sierra club,Charity & Donations
payroll residential,Income
nike,Shopping & Retail
bank  business district,Financial Services
emergency services store residential,Government & Legal
belk  txn,Shopping & Retail
amnesty international,Charity & Donations
amc,Entertainment & Recreation
stanford health store,Healthcare & Medical
swimming pool center,Entertainment & Recreation
uber  australia,Transportation
social security 4411 usa,Income
von maur afternoon,Shopping & Retail
bp india,Transportation
gofundme,Charity & Donations
bookkeeping downtown,Financial Services
commission,Income
alaska airlines australia night,Transportation
loan,Financial Services
dillards store hospital,Shopping & Retail
capital gains,Income
staples store,Shopping & Retail
ulta store txn,Shopping & Retail
mayo clinic ,Healthcare & Medical
oxfam,Charity & Donations
business wifi,Utilities & Services
loan ,Financial Services
sierra club canada,Charity & Donations
taxi,Transportation
cable internet india evening,Utilities & Services
brigham and womens,Healthcare & Medical
xray txn,Healthcare & Medical
five guys,Food & Dining
cargo ,Transportation
capitol,Government & Legal
nyu langone,Healthcare & Medical
royalty 3157 store,Income
tennis court ,Entertainment & Recreation
oxfam mall,Charity & Donations
tax usa dinner time,Government & Legal
tmobile,Utilities & Services
tennis court canada downtown,Entertainment & Recreation
panera bread ,Food & Dining
gokart store,Entertainment & Recreation
bowling alley,Entertainment & Recreation
kfc store,Food & Dining
gokart,Entertainment & Recreation
pnc bank residential,Financial Services
mount sinai store,Healthcare & Medical
delta ,Transportation
carnival usa store,Entertainment & Recreation
wifi,Utilities & Services
insurance,Financial Services
mini golf  australia branch night,Entertainment & Recreation
crossfit,Entertainment & Recreation
nordstrom rack txn,Shopping & Retail
humane society  txn,Charity & Donations
specialist ,Healthcare & Medical
mortgage  strip mall,Financial Services
notary holiday,Government & Legal
cargo  mall,Transportation
bank of america,Financial Services
fitness ,Entertainment & Recreation
youtube,Entertainment & Recreation
gas company store evening,Utilities & Services
optimum,Utilities & Services
five guys ,Food & Dining
lab airport,Healthcare & Medical
rock climbing canada store,Entertainment & Recreation
mbta,Transportation
convention center,Entertainment & Recreation
atf india center airport,Government & Legal
government,Government & Legal
family dollar,Shopping & Retail
megabus,Transportation
cable internet,Utilities & Services
tax preparation rush hour,Financial Services
theater,Entertainment & Recreation
national parks,Charity & Donations
dunkin donuts branch residential,Food & Dining
county clerk store,Government & Legal
family dollar usa,Shopping & Retail
ebay store shopping center,Shopping & Retail
social security night,Government & Legal
sparklight store,Utilities & Services
interest 5838 evening,Income
stock  canada branch holiday,Financial Services
fiber  txn,Utilities & Services
visa  store business district,Government & Legal
brigham and womens,Healthcare & Medical
citibank ,Financial Services
homeless shelter  evening,Charity & Donations
keybank,Financial Services
office depot center,Shopping & Retail
burger king usa lunch time,Food & Dining
wifi  residential,Utilities & Services
ems  holiday,Government & Legal
loan ,Financial Services
sparklight  txn,Utilities & Services
convention center,Entertainment & Recreation
retirement canada,Financial Services
aspca shopping center,Charity & Donations
family dollar ,Shopping & Retail
neurologist,Healthcare & Medical
zipcar store strip mall,Transportation
nature conservancy,Charity & Donations
kickstarter australia,Charity & Donations
mayo clinic strip mall,Healthcare & Medical
mortgage center,Financial Services
cold stone creamery,Food & Dining
paramedic,Government & Legal
ucla medical store txn,Healthcare & Medical
panda express india store,Food & Dining
sixt station,Transportation
atm canada dinner time,Financial Services
pension,Income
county clerk canada store,Government & Legal
directv,Utilities & Services
brokerage ,Financial Services
doctors without borders australia,Charity & Donations
td bank canada,Financial Services
disability 6082,Income
theme park,Entertainment & Recreation
trampoline park airport,Entertainment & Recreation
credit usa center residential,Income
adidas,Shopping & Retail
fire department usa,Government & Legal
fitness,Entertainment & Recreation
atf india store weekend,Government & Legal
staples,Shopping & Retail
netflix store,Entertainment & Recreation
pilates ,Entertainment & Recreation
chase india,Financial Services
annuity 8931 uk center,Income
bp ,Transportation
senate,Government & Legal
ups store,Shopping & Retail
turo,Transportation
youtube weekday,Entertainment & Recreation
firehouse subs branch,Food & Dining
reachnow,Transportation
donation,Charity & Donations
dillards store,Shopping & Retail
comcast ,Utilities & Services
cable one shopping center,Utilities & Services
dart,Transportation
retirement planning uk store center,Financial Services
marta ,Transportation
laser tag,Entertainment & Recreation
mbta ,Transportation
walgreens store,Shopping & Retail
post office,Government & Legal
alamo australia downtown,Transportation
viasat branch,Utilities & Services
refund mall,Income
cvs,Shopping & Retail
pizza hut canada residential,Food & Dining
emergency services,Government & Legal
psychiatrist weekend,Healthcare & Medical
centurylink,Utilities & Services
accounting india store,Financial Services
doctors without borders,Charity & Donations
local church store,Charity & Donations
kaiser permanente usa,Healthcare & Medical
orange theory,Entertainment & Recreation
cleveland clinic,Healthcare & Medical
financial advisor store txn,Financial Services
church ,Charity & Donations
paramedic,Government & Legal
fifth third txn,Financial Services
childrens hospital,Healthcare & Medical
paintball usa store,Entertainment & Recreation
blood test,Healthcare & Medical
firehouse subs  center airport,Food & Dining
dsl,Utilities & Services
southwest airlines afternoon,Transportation
big lots ,Shopping & Retail
jack in the box  store,Food & Dining
train uk,Transportation
mosque ,Charity & Donations
maternity leave 8112,Income
side hustle 5349 store afternoon,Income
zipcar india,Transportation
nordstrom rack txn,Shopping & Retail
lab night,Healthcare & Medical
gift ,Charity & Donations
contract work,Income
neurologist,Healthcare & Medical
canes center,Food & Dining
contract work 6128 store,Income
neiman marcus night,Shopping & Retail
bowling alley  branch business district,Entertainment & Recreation
dermatologist airport,Healthcare & Medical
mta shopping center,Transportation
costco,Shopping & Retail
golf course  store branch,Entertainment & Recreation
gofundme india,Charity & Donations
jack in the box store weekend,Food & Dining
freelance txn493907,Income
alamo ,Transportation
veterans organization,Charity & Donations
amc store,Entertainment & Recreation
southwest airlines canada,Transportation
regions bank uk,Financial Services
vacation pay 5146 store,Income
goodwill india,Charity & Donations
phone company campus,Utilities & Services
lab,Healthcare & Medical
ski resort,Entertainment & Recreation
hulu,Entertainment & Recreation
gamestop evening,Shopping & Retail
fulltime usa branch,Income
allegiant store,Transportation
chiropractor airport,Healthcare & Medical
medicare airport,Government & Legal
consolidated communications canada center weekend,Utilities & Services
united way,Charity & Donations
hsbc,Financial Services
fbi,Government & Legal
royalty 1321,Income
enterprise ,Transportation
burger king,Food & Dining
tsa canada airport,Government & Legal
target store,Food & Dining
hawaiian airlines india airport,Transportation
museum usa hospital,Entertainment & Recreation
hughesnet business district,Utilities & Services
consulting,Income
red cross,Charity & Donations
zara morning,Shopping & Retail
quiznos  usa branch,Food & Dining
kfc ,Food & Dining
brigham and womens,Healthcare & Medical
santander  shopping center,Financial Services
hsbc india,Financial Services
spotify canada branch,Entertainment & Recreation
disney+ usa,Entertainment & Recreation
mayo clinic dinner time,Healthcare & Medical
ngo canada store,Charity & Donations
cinemark australia,Entertainment & Recreation
trader joes shopping center,Food & Dining
salary center,Income
fbi  store,Government & Legal
transfer ,Financial Services
fundraising  txn,Charity & Donations
reward,Income
fulltime uk,Income
contract work branch shopping center,Income
maternity leave,Income
tax,Government & Legal
chipotle ,Food & Dining
church txn,Charity & Donations
td bank,Financial Services
town hall india,Government & Legal
mass general downtown,Healthcare & Medical
greyhound ,Transportation
paramedic morning,Government & Legal
uniqlo,Shopping & Retail
hulu dinner time,Entertainment & Recreation
convention center,Entertainment & Recreation
bmo harris  txn,Financial Services
ross ,Shopping & Retail
pnc bank  australia center night,Financial Services
lyft usa,Transportation
walgreens,Healthcare & Medical
sparklight australia,Utilities & Services
social security 8366,Income
gamestop,Shopping & Retail
wendys ,Food & Dining
mbta branch txn,Transportation
centurylink branch,Utilities & Services
irs,Government & Legal
surgery  txn,Healthcare & Medical
hospital uk store,Healthcare & Medical
arcade dinner time,Entertainment & Recreation
hsbc ,Financial Services
comcast ,Utilities & Services
mediacom ,Utilities & Services
lowes  dinner time,Shopping & Retail
white house,Government & Legal
city hall,Government & Legal
raising canes,Food & Dining
nordstrom,Shopping & Retail
sparklight ,Utilities & Services
subway store,Food & Dining
taco bell australia txn,Food & Dining
southwest airlines dinner time,Transportation
homeless shelter uk,Charity & Donations
brigham and womens ,Healthcare & Medical
primary care center lunch time,Healthcare & Medical
fifth third store txn,Financial Services
dental store shopping center,Healthcare & Medical
commission,Income
united ,Transportation
fire department ,Government & Legal
alaska airlines india store,Transportation
fundraising store morning,Charity & Donations
walmart supercenter branch,Food & Dining
bonus,Income
mount sinai ,Healthcare & Medical
bonus 8310 branch,Income
cargo  australia store campus,Transportation
fire department ,Government & Legal
frontier usa store,Transportation
national parks ,Charity & Donations
clinic ,Healthcare & Medical
ross,Shopping & Retail
payroll,Income
dollar  australia afternoon,Transportation
jack in the box store,Food & Dining
cedarssinai ,Healthcare & Medical
first national center,Financial Services
hsbc center dinner time,Financial Services
suddenlink store evening,Utilities & Services
wmata,Transportation
sparklight  store center,Utilities & Services
moes southwest grill,Food & Dining
culvers,Food & Dining
franchise,Income
whataburger campus,Food & Dining
tsa usa airport,Government & Legal
dividend txn721218,Income
world vision  store,Charity & Donations
federal building ,Government & Legal
alaska airlines australia,Transportation
digital bank weekend,Financial Services
potbelly txn,Food & Dining
united,Transportation
county clerk  center residential,Government & Legal
aspca canada,Charity & Donations
kaiser permanente  australia,Healthcare & Medical
nordstrom store center,Shopping & Retail
permit ,Government & Legal
anytime fitness store,Entertainment & Recreation
rite aid  center,Healthcare & Medical
nike ,Shopping & Retail
marshals,Government & Legal
dea  usa,Government & Legal
dividend,Income
amazon prime,Entertainment & Recreation
paintball,Entertainment & Recreation
mediacom store,Utilities & Services
canes txn,Food & Dining
swimming pool branch evening,Entertainment & Recreation
rite aid,Healthcare & Medical
netflix,Entertainment & Recreation
local church dinner time,Charity & Donations
marta usa center,Transportation
goodwill weekend,Charity & Donations
dollar,Transportation
amazon prime center,Entertainment & Recreation
occupational therapy ,Healthcare & Medical
dental  india,Healthcare & Medical
interest 5882,Income
fire department canada,Government & Legal
visa,Government & Legal
rental income txn466411,Income
commission 2372 australia holiday,Income
officemax,Shopping & Retail
government holiday,Government & Legal
johns hopkins,Healthcare & Medical
lab store holiday,Healthcare & Medical
urologist,Healthcare & Medical
offering holiday,Charity & Donations
electric company,Utilities & Services
arcade txn,Entertainment & Recreation
cvs afternoon,Shopping & Retail
innout,Food & Dining
suntrust,Financial Services
retirement mall,Financial Services
tax  store,Government & Legal
transfer store,Financial Services
stanford health,Healthcare & Medical
concert,Entertainment & Recreation
keybank store branch airport,Financial Services
kroger pharmacy store txn,Healthcare & Medical
ikea  business district,Shopping & Retail
megabus  australia morning,Transportation
ski resort branch center,Entertainment & Recreation
getaround store center,Transportation
jack in the box,Food & Dining
metro  dinner time,Transportation
gokart,Entertainment & Recreation
city hall branch campus,Government & Legal
spectrum campus,Utilities & Services
annuity residential,Income
consulting campus,Income
secret service,Government & Legal
von maur,Shopping & Retail
ems store,Government & Legal
optimum,Utilities & Services
social security,Government & Legal
youtube,Entertainment & Recreation
target,Food & Dining
fbi  uk branch,Government & Legal
getaround  australia,Transportation
wwf,Charity & Donations
medicare  uk branch,Government & Legal
gift campus,Charity & Donations
golds gym ,Entertainment & Recreation
escape room  store,Entertainment & Recreation
canes,Food & Dining
target  residential,Shopping & Retail
hertz store,Transportation
phone company,Utilities & Services
lyft,Transportation
amc ,Entertainment & Recreation
saks fifth avenue  canada,Shopping & Retail
oxfam,Charity & Donations
salary,Income
fire department  shopping center,Government & Legal
animal shelter,Charity & Donations
internet provider,Utilities & Services
canes uk,Food & Dining
viasat store,Utilities & Services
cable one,Utilities & Services
frontier shopping center,Utilities & Services
overtime australia store,Income
sprint canada,Utilities & Services
chickfila store hospital,Food & Dining
gig work 1812 txn941535,Income
cvs,Shopping & Retail
pizza hut campus,Food & Dining
la fitness center,Entertainment & Recreation
occupational therapy,Healthcare & Medical
whole foods,Food & Dining
enterprise  hospital,Transportation
charter,Utilities & Services
payroll 8207,Income
mobile hotspot store,Utilities & Services
ross center,Shopping & Retail
reward uk branch campus,Income
wendys india,Food & Dining
overtime 2301,Income
hertz dinner time,Transportation
credit union  usa,Financial Services
canes,Food & Dining
peta  india branch,Charity & Donations
audubon society canada,Charity & Donations
budget lunch time,Transportation
culvers,Food & Dining
social security 7226 usa,Income
rallys  uk,Food & Dining
ambulance,Government & Legal
childrens hospital store,Healthcare & Medical
ucsf medical,Healthcare & Medical
jimmy johns  center,Food & Dining
clinic station,Healthcare & Medical
kaiser permanente holiday,Healthcare & Medical
festival,Entertainment & Recreation
gamestop,Shopping & Retail
wow australia txn,Utilities & Services
public wifi txn,Utilities & Services
reward center,Income
wells fargo store,Financial Services
cable one australia,Utilities & Services
nsa branch,Government & Legal
neurologist store,Healthcare & Medical
barnes noble,Shopping & Retail
contract work,Income
freelance lunch time,Income
bank,Financial Services
chevron store branch,Transportation
local food bank  weekday,Charity & Donations
alaska airlines india store,Transportation
interest 1264 holiday,Income
rental income strip mall,Income
mayo clinic india txn,Healthcare & Medical
business wifi  evening,Utilities & Services
dominos australia txn,Food & Dining
gokart center,Entertainment & Recreation
peter pan rush hour,Transportation
mayo clinic,Healthcare & Medical
physical therapy,Healthcare & Medical
pizza hut  india store night,Food & Dining
arbys,Food & Dining
officemax,Shopping & Retail
insurance airport,Financial Services
chipotle center,Food & Dining
unicef center,Charity & Donations
ems store,Government & Legal
gas company,Utilities & Services
dairy queen  txn,Food & Dining
cardiologist store,Healthcare & Medical
habitat for humanity ,Charity & Donations
optimum,Utilities & Services
getaround  center,Transportation
baja fresh ,Food & Dining
apple store,Shopping & Retail
jack in the box store lunch time,Food & Dining
rallys center,Food & Dining
avis  india,Transportation
potbelly ,Food & Dining
walkin clinic ,Healthcare & Medical
mobile,Utilities & Services
regal,Entertainment & Recreation
unemployment 2850 center,Income
tax preparation  store,Financial Services
regions bank uk,Financial Services
carls jr ,Food & Dining
taxi,Transportation
tennis court  center,Entertainment & Recreation
att txn,Utilities & Services
johns hopkins store txn,Healthcare & Medical
primary care store,Healthcare & Medical
goodwill txn,Charity & Donations
cashback,Income
yoga studio ,Entertainment & Recreation
maternity leave txn572987,Income
spca ,Charity & Donations
verizon store evening,Utilities & Services
franchise,Income
spca night,Charity & Donations
bank of america center,Financial Services
ulta ,Shopping & Retail
mri ,Healthcare & Medical
salary store,Income
santander  downtown,Financial Services
wealth management,Financial Services
walmart pharmacy,Healthcare & Medical
delta ,Transportation
spca evening,Charity & Donations
orange theory  store night,Entertainment & Recreation
marshalls  usa store branch,Shopping & Retail
spca australia store,Charity & Donations
holiday pay,Income
wage,Income
gokart  weekend,Entertainment & Recreation
trader joes,Food & Dining
service,Government & Legal
urgent care center,Healthcare & Medical
hertz ,Transportation
county clerk,Government & Legal
sierra club australia evening,Charity & Donations
greyhound  dinner time,Transportation
cable internet,Utilities & Services
local food bank store morning,Charity & Donations
mass general,Healthcare & Medical
goodwill txn,Charity & Donations
hospital ,Healthcare & Medical
gas company,Utilities & Services
cable company,Utilities & Services
passport,Government & Legal
salary 2629,Income
wwf,Charity & Donations
neiman marcus branch center,Shopping & Retail
contract work 9096 weekend,Income
mta,Transportation
state police station,Government & Legal
aspca txn,Charity & Donations
hawaiian airlines ,Transportation
rite aid,Shopping & Retail
mri  rush hour,Healthcare & Medical
pnc bank,Financial Services
aspca  australia store,Charity & Donations
holiday pay 3015,Income
satellite internet,Utilities & Services
kfc india strip mall,Food & Dining
allegiant  australia weekday,Transportation
frontier,Utilities & Services
income 5258,Income
wifi hotspot store shopping center,Utilities & Services
olive garden,Food & Dining
dish,Utilities & Services
bp  dinner time,Transportation
local food bank weekday,Charity & Donations
brigham and womens ,Healthcare & Medical
gofundme  usa,Charity & Donations
medicare ,Government & Legal
festival,Entertainment & Recreation
side hustle,Income
uber store,Transportation
zaxbys ,Food & Dining
office depot store weekend,Shopping & Retail
transfer australia txn,Financial Services
sparklight australia txn,Utilities & Services
metro center,Transportation
sephora,Shopping & Retail
wifi hotspot txn,Utilities & Services
humane society ,Charity & Donations
dollar tree ,Shopping & Retail
salvation army,Charity & Donations
insurance  holiday,Financial Services
getaround center,Transportation
retirement planning,Financial Services
court downtown,Government & Legal
cargo  txn,Transportation
popeyes  store weekday,Food & Dining
mortgage,Financial Services
clinic  afternoon,Healthcare & Medical
golds gym  india,Entertainment & Recreation
jimmy johns,Food & Dining
reachnow,Transportation
border patrol,Government & Legal
income,Income
wwf ,Charity & Donations
vacation pay txn120511,Income
wifi hotspot,Utilities & Services
specialist  uk,Healthcare & Medical
panda express ,Food & Dining
mediacom branch,Utilities & Services
brokerage campus,Financial Services
dmv branch,Government & Legal
tennis court canada store,Entertainment & Recreation
dsl center campus,Utilities & Services
ucla medical business district,Healthcare & Medical
atm  txn,Financial Services
reimbursement,Income
popeyes,Food & Dining
train branch,Transportation
hm,Shopping & Retail
water company usa,Utilities & Services
spectrum canada night,Utilities & Services
wmata,Transportation
pediatrician,Healthcare & Medical
sick pay 1220 australia txn352559,Income
fedex office,Shopping & Retail
temple,Charity & Donations
wifi australia,Utilities & Services
sierra club  station,Charity & Donations
salvation army residential,Charity & Donations
ebay ,Shopping & Retail
frontier ,Transportation
gynecologist uk txn,Healthcare & Medical
mobile center weekend,Utilities & Services
bp store,Transportation
freelance 6473,Income
alaska airlines branch,Transportation
delta,Transportation
unemployment india weekend,Income
windstream,Utilities & Services
olive garden india txn,Food & Dining
bbt  canada,Financial Services
mini golf store,Entertainment & Recreation
mta australia,Transportation
medicare,Government & Legal
community bank australia,Financial Services
church branch shopping center,Charity & Donations
ikea,Shopping & Retail
shake shack ,Food & Dining
business wifi  india dinner time,Utilities & Services
pilates india station,Entertainment & Recreation
dunkin donuts  uk,Food & Dining
shell store afternoon,Transportation
theme park store,Entertainment & Recreation
pizza hut,Food & Dining
humane society  evening,Charity & Donations
public wifi center strip mall,Utilities & Services
kickstarter,Charity & Donations
cvs canada,Healthcare & Medical
comcast ,Utilities & Services
cinemark  mall,Entertainment & Recreation
primary care,Healthcare & Medical
baskinrobbins,Food & Dining
city hall  weekday,Government & Legal
budget,Transportation
best buy,Shopping & Retail
cia,Government & Legal
permit store,Government & Legal
fundraising lunch time,Charity & Donations
church ,Charity & Donations
rcn weekend,Utilities & Services
dunkin donuts store evening,Food & Dining
reward australia residential,Income
capital one center,Financial Services
brokerage ,Financial Services
medicare,Government & Legal
nordstrom rack  station,Shopping & Retail
turo txn,Transportation
chiropractor india,Healthcare & Medical
family dollar,Shopping & Retail
equinox ,Entertainment & Recreation
emergency room,Healthcare & Medical
panda express ,Food & Dining
bmo harris,Financial Services
tsa,Government & Legal
soulcycle  canada store,Entertainment & Recreation
temple morning,Charity & Donations
credit union usa,Financial Services
orange theory uk,Entertainment & Recreation
satellite internet ,Utilities & Services
franchise 9758,Income
ucla medical,Healthcare & Medical
officemax,Shopping & Retail
lowes uk,Shopping & Retail
county clerk,Government & Legal
immigration store,Government & Legal
lord taylor ,Shopping & Retail
frontier ,Utilities & Services
primary care store,Healthcare & Medical
starlink australia store,Utilities & Services
dividend txn979009,Income
saks off th store,Shopping & Retail
td bank branch,Financial Services
blood test,Healthcare & Medical
equinox store branch night,Entertainment & Recreation
regions bank canada,Financial Services
netflix  store txn,Entertainment & Recreation
neurologist india,Healthcare & Medical
alamo  store,Transportation
keybank canada store,Financial Services
safeway store,Food & Dining
license uk store,Government & Legal
sephora strip mall,Shopping & Retail
walmart supercenter store,Food & Dining
netflix,Entertainment & Recreation
marshals holiday,Government & Legal
nyu langone  usa branch,Healthcare & Medical
synagogue  canada store,Charity & Donations
nyu langone  txn,Healthcare & Medical
offering txn,Charity & Donations
rite aid uk downtown,Shopping & Retail
broadband mall,Utilities & Services
brokerage hospital,Financial Services
world vision,Charity & Donations
zoo,Entertainment & Recreation
td bank,Financial Services
dominos  weekend,Food & Dining
wells fargo,Financial Services
septa campus,Transportation
sheriff store txn,Government & Legal
taxi,Transportation
citibank center,Financial Services
swimming pool,Entertainment & Recreation
officemax ,Shopping & Retail
charity,Charity & Donations
orthopedist ,Healthcare & Medical
panera bread,Food & Dining
wwf  store dinner time,Charity & Donations
cia branch,Government & Legal
avis strip mall,Transportation
nyu langone,Healthcare & Medical
nike txn,Shopping & Retail
checkers ,Food & Dining
wifi rush hour,Utilities & Services
gofundme,Charity & Donations
pnc bank ,Financial Services
blood test,Healthcare & Medical
town hall usa,Government & Legal
dmv,Government & Legal
unicef  branch,Charity & Donations
safeway  airport,Food & Dining
mosque weekday,Charity & Donations
walmart pharmacy branch,Healthcare & Medical
parttime store center,Income
rental income uk,Income
wmata ,Transportation
mr. sub,Food & Dining
soulcycle holiday,Entertainment & Recreation
macys store,Shopping & Retail
gas company,Utilities & Services
festival weekend,Entertainment & Recreation
social security india,Government & Legal
mri  store,Healthcare & Medical
white house,Government & Legal
social security airport,Income
retirement store,Financial Services
wifi ,Utilities & Services
whole foods australia morning,Food & Dining
subway store,Food & Dining
white house  uk weekend,Government & Legal
cleveland clinic  uk holiday,Healthcare & Medical
macys  dinner time,Shopping & Retail
humane society morning,Charity & Donations
pilates,Entertainment & Recreation
netflix,Entertainment & Recreation
rcn campus,Utilities & Services
paternity leave,Income
laser tag,Entertainment & Recreation
contract work australia night,Income
congress rush hour,Government & Legal
septa center,Transportation
jersey mikes,Food & Dining
salary,Income
united,Transportation
licensing downtown,Income
golf course uk store mall,Entertainment & Recreation
getaround store txn,Transportation
shake shack  branch,Food & Dining
bank ,Financial Services
direct deposit uk,Income
mount sinai,Healthcare & Medical
bonus,Income
senior center store,Charity & Donations
walmart pharmacy,Healthcare & Medical
theme park,Entertainment & Recreation
income rush hour,Income
five guys,Food & Dining
target txn,Shopping & Retail
senate,Government & Legal
wow uk,Utilities & Services
dea store campus,Government & Legal
tmobile,Utilities & Services
potbelly uk evening,Food & Dining
centurylink ,Utilities & Services
town hall store evening,Government & Legal
city hall store,Government & Legal
wealth management store,Financial Services
ebay,Shopping & Retail
walkin clinic txn,Healthcare & Medical
phone company australia,Utilities & Services
gym,Entertainment & Recreation
white castle australia,Food & Dining
wage 6994,Income
digital bank,Financial Services
crunch fitness station,Entertainment & Recreation
amazon  txn,Shopping & Retail
baja fresh ,Food & Dining
investment bank,Financial Services
marshals ,Government & Legal
congress store,Government & Legal
orthopedist branch,Healthcare & Medical
community center uk dinner time,Charity & Donations
dunkin donuts,Food & Dining
parttime,Income
payroll store,Income
disability store station,Income
tax preparation india,Financial Services
wendys,Food & Dining
att residential,Utilities & Services
megabus holiday,Transportation
firehouse subs,Food & Dining
lord taylor,Shopping & Retail
franchise,Income
unicef,Charity & Donations
fifth third  canada store hospital,Financial Services
neurologist,Healthcare & Medical
annuity 3790,Income
santander,Financial Services
rcn  weekend,Utilities & Services
bbt  india,Financial Services
von maur  india,Shopping & Retail
court,Government & Legal
municipal building lunch time,Government & Legal
shake shack ,Food & Dining
national  australia store,Transportation
amnesty international  usa,Charity & Donations
white house,Government & Legal
medicare ,Government & Legal
police department  lunch time,Government & Legal
marshals store,Government & Legal
arcade  store center,Entertainment & Recreation
moes southwest grill  store,Food & Dining
cashback 7129 usa afternoon,Income
atlantic broadband,Utilities & Services
wells fargo,Financial Services
kroger pharmacy india,Healthcare & Medical
jack in the box,Food & Dining
temple store,Charity & Donations
subway usa holiday,Food & Dining
windstream usa,Utilities & Services
viasat,Utilities & Services
hawaiian airlines  india airport,Transportation
dart,Transportation
budget canada txn,Transportation
canes center,Food & Dining
burlington ,Shopping & Retail
lyft ,Transportation
tj maxx ,Shopping & Retail
adidas  uk,Shopping & Retail
cvs,Healthcare & Medical
municipal building,Government & Legal
marta,Transportation
comerica ,Financial Services
theater ,Entertainment & Recreation
rock climbing,Entertainment & Recreation
shake shack branch,Food & Dining
arbys hospital,Food & Dining
world vision india,Charity & Donations
license ,Government & Legal
charter,Utilities & Services
mri  australia store,Healthcare & Medical
post office,Shopping & Retail
popeyes,Food & Dining
nyu langone store,Healthcare & Medical
sephora store,Shopping & Retail
senior center  store,Charity & Donations
amazon prime center evening,Entertainment & Recreation
digital bank store,Financial Services
kickstarter ,Charity & Donations
suntrust ,Financial Services
dillards ,Shopping & Retail
fire department,Government & Legal
stanford health,Healthcare & Medical
direct deposit branch,Income
saks off th strip mall,Shopping & Retail
rallys,Food & Dining
licensing uk,Income
train  txn,Transportation
synagogue,Charity & Donations
spirit usa dinner time,Transportation
costco,Shopping & Retail
starbucks  store,Food & Dining
retirement,Financial Services
bergdorf goodman,Shopping & Retail
unemployment 8206 store weekend,Income
zoo,Entertainment & Recreation
dairy queen uk store,Food & Dining
tmobile,Utilities & Services
fifth third ,Financial Services
cardiologist station,Healthcare & Medical
fedex office,Shopping & Retail
office depot usa holiday,Shopping & Retail
tsa,Government & Legal
royalty,Income
united  canada,Transportation
sheriff  morning,Government & Legal
digital bank store,Financial Services
suddenlink  center weekday,Utilities & Services
white castle  uk,Food & Dining
jack in the box,Food & Dining
sparklight ,Utilities & Services
side hustle branch,Income
exxon,Transportation
laser tag india,Entertainment & Recreation
rallys shopping center,Food & Dining
tj maxx  uk txn,Shopping & Retail
local food bank  store,Charity & Donations
cvs,Shopping & Retail
sheriff ,Government & Legal
marta,Transportation
hulu,Entertainment & Recreation
nike  australia,Shopping & Retail
golds gym,Entertainment & Recreation
wendys,Food & Dining
emergency room,Healthcare & Medical
interest,Income
clinic,Healthcare & Medical
license,Government & Legal
credit usa,Income
flixbus branch,Transportation
adidas store,Shopping & Retail
olive garden uk,Food & Dining
saks off th branch,Shopping & Retail
investment  store,Financial Services
veterans organization ,Charity & Donations
white castle india store,Food & Dining
bergdorf goodman store txn,Shopping & Retail
rite aid store,Healthcare & Medical
bank store morning,Financial Services
water company usa campus,Utilities & Services
